"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 08 02:42:35 UTC 2023","Fri Sep 08 02:42:42 UTC 2023","7019","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Fri Sep 08 04:27:02 UTC 2023","Fri Sep 08 04:27:20 UTC 2023","17915","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Fri Sep 08 02:30:27 UTC 2023","Fri Sep 08 02:30:37 UTC 2023","9775","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Fri Sep 08 03:32:40 UTC 2023","Fri Sep 08 03:33:30 UTC 2023","50544","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Fri Sep 08 04:27:26 UTC 2023","Fri Sep 08 04:27:35 UTC 2023","8942","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Fri Sep 08 03:36:07 UTC 2023","Fri Sep 08 03:36:16 UTC 2023","9074","","16. Nucleus Wealth Wordpress Site","","","","9. Visit Get Started",""
"passed","Fri Sep 08 02:21:19 UTC 2023","Fri Sep 08 02:21:31 UTC 2023","12850","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","9. Navigate to Risk Profile",""
"passed","Fri Sep 08 02:23:50 UTC 2023","Fri Sep 08 02:24:13 UTC 2023","22243","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Fri Sep 08 03:58:25 UTC 2023","Fri Sep 08 03:58:28 UTC 2023","3483","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Fri Sep 08 04:27:35 UTC 2023","Fri Sep 08 04:27:58 UTC 2023","23101","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Fri Sep 08 02:21:31 UTC 2023","Fri Sep 08 02:22:10 UTC 2023","38210","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Fri Sep 08 03:04:57 UTC 2023","Fri Sep 08 03:05:00 UTC 2023","2487","","6. Company Account","","","","6. Review Review Page",""
"passed","Fri Sep 08 03:29:01 UTC 2023","Fri Sep 08 03:29:25 UTC 2023","24036","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Fri Sep 08 03:55:53 UTC 2023","Fri Sep 08 03:55:57 UTC 2023","4297","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Fri Sep 08 02:24:19 UTC 2023","Fri Sep 08 02:25:11 UTC 2023","51173","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Fri Sep 08 04:17:01 UTC 2023","Fri Sep 08 04:17:48 UTC 2023","47454","","22. Individual Onboarding for Interactive Brokers","","","","13. Limited Advice Path",""
"passed","Fri Sep 08 02:29:39 UTC 2023","Fri Sep 08 02:29:47 UTC 2023","8530","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Fri Sep 08 04:14:24 UTC 2023","Fri Sep 08 04:14:31 UTC 2023","6420","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Fri Sep 08 02:36:55 UTC 2023","Fri Sep 08 02:37:22 UTC 2023","27466","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Fri Sep 08 02:46:38 UTC 2023","Fri Sep 08 02:46:41 UTC 2023","3251","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","13. Review Final Review",""
"passed","Fri Sep 08 02:24:13 UTC 2023","Fri Sep 08 02:24:19 UTC 2023","6616","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Fri Sep 08 03:04:36 UTC 2023","Fri Sep 08 03:04:41 UTC 2023","5244","","6. Company Account","","","","5. Complete Screen and tilts",""
"passed","Fri Sep 08 02:36:51 UTC 2023","Fri Sep 08 02:36:55 UTC 2023","3432","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Sep 08 03:00:21 UTC 2023","Fri Sep 08 03:00:36 UTC 2023","15722","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Fri Sep 08 03:17:09 UTC 2023","Fri Sep 08 03:17:10 UTC 2023","1009","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Fri Sep 08 02:39:20 UTC 2023","Fri Sep 08 02:39:23 UTC 2023","3160","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Sep 08 03:55:50 UTC 2023","Fri Sep 08 03:55:53 UTC 2023","2509","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Fri Sep 08 02:42:42 UTC 2023","Fri Sep 08 02:42:45 UTC 2023","2601","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Fri Sep 08 03:01:03 UTC 2023","Fri Sep 08 03:01:28 UTC 2023","25178","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Fri Sep 08 03:55:21 UTC 2023","Fri Sep 08 03:55:40 UTC 2023","18969","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Fri Sep 08 03:16:12 UTC 2023","Fri Sep 08 03:16:27 UTC 2023","15412","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Fri Sep 08 02:45:30 UTC 2023","Fri Sep 08 02:45:34 UTC 2023","3380","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","8. Navigate from Applicants to Bank Details",""
"passed","Fri Sep 08 02:39:45 UTC 2023","Fri Sep 08 02:39:45 UTC 2023","668","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Sep 08 03:48:05 UTC 2023","Fri Sep 08 03:52:26 UTC 2023","261614","","18. Check Admin header","","","","2. Check Navbar",""
"passed","Fri Sep 08 03:05:00 UTC 2023","Fri Sep 08 03:05:13 UTC 2023","13172","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Fri Sep 08 03:05:17 UTC 2023","Fri Sep 08 03:05:17 UTC 2023","544","","6. Company Account","","","","9. Review Final Review",""
"passed","Fri Sep 08 03:28:43 UTC 2023","Fri Sep 08 03:28:57 UTC 2023","13710","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Fri Sep 08 03:10:13 UTC 2023","Fri Sep 08 03:10:33 UTC 2023","20462","","9. Client Portal - Home","","","","1. Check links",""
"passed","Fri Sep 08 03:01:33 UTC 2023","Fri Sep 08 03:01:34 UTC 2023","659","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Fri Sep 08 03:58:28 UTC 2023","Fri Sep 08 03:58:29 UTC 2023","1167","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Fri Sep 08 02:45:44 UTC 2023","Fri Sep 08 02:46:38 UTC 2023","54271","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
"passed","Fri Sep 08 02:19:32 UTC 2023","Fri Sep 08 02:19:32 UTC 2023","87","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Fri Sep 08 03:01:01 UTC 2023","Fri Sep 08 03:01:03 UTC 2023","1729","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Fri Sep 08 03:35:42 UTC 2023","Fri Sep 08 03:35:45 UTC 2023","3419","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Fri Sep 08 02:43:07 UTC 2023","Fri Sep 08 02:43:15 UTC 2023","7977","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Fri Sep 08 03:35:48 UTC 2023","Fri Sep 08 03:35:52 UTC 2023","4283","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Fri Sep 08 04:16:47 UTC 2023","Fri Sep 08 04:16:57 UTC 2023","9939","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Fri Sep 08 03:29:27 UTC 2023","Fri Sep 08 03:30:07 UTC 2023","39446","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Fri Sep 08 03:29:00 UTC 2023","Fri Sep 08 03:29:01 UTC 2023","994","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Fri Sep 08 03:05:13 UTC 2023","Fri Sep 08 03:05:17 UTC 2023","3890","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
